,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue58458118,58458118,JinairRogue,True,Loss,True,False,False,8706,8706,9448
JinairRogue58458127,58458127,JinairRogue,True,Loss,True,False,False,11097,11097,14171
JinairRogue58458129,58458129,JinairRogue,True,Loss,True,False,False,14206,14206,15347
JinairRogue58458134,58458134,JinairRogue,True,Loss,False,False,False,15786,15786,16361
JinairRogue58458142,58458142,JinairRogue,True,Loss,True,False,False,17500,17500,17967
JinairRogue58458147,58458147,JinairRogue,True,Loss,False,False,False,18650,18650,19187
JinairRogue58458148,58458148,JinairRogue,True,Loss,True,False,False,19193,19193,25847
JinairRogue58458153,58458153,JinairRogue,True,Loss,False,False,False,27155,27155,27589
JinairRogue58720257,58720257,JinairRogue,True,Loss,True,False,False,0,0,NA
JinairRogue59506692,59506692,JinairRogue,True,Loss,True,False,False,26364,26364,27102
JinairRogue59506694,59506694,JinairRogue,True,Loss,True,False,False,27115,27115,27187
JinairRogue59506697,59506697,JinairRogue,True,Loss,True,False,False,27583,27583,27851
JinairRogue59768836,59768836,JinairRogue,True,Loss,False,False,False,17174,17174,18335
JinairRogue59768837,59768837,JinairRogue,True,Loss,True,False,False,18340,18340,19553
JinairRogue59768840,59768840,JinairRogue,True,Loss,True,False,False,20222,20222,20753
JinairRogue59768841,59768841,JinairRogue,True,Loss,True,False,False,20755,20755,21056
JinairRogue59768842,59768842,JinairRogue,True,Loss,True,False,False,21059,21059,21333
JinairRogue59768845,59768845,JinairRogue,True,Loss,False,False,False,21616,21616,22062
JinairRogue59768846,59768846,JinairRogue,True,Loss,True,False,False,22066,22066,24022
JinairRogue59768847,59768847,JinairRogue,True,Loss,True,False,False,24445,24445,26240
JinairRogue59768848,59768848,JinairRogue,True,Loss,True,False,False,26380,26380,27115
JinairRogue59768850,59768850,JinairRogue,True,Loss,True,False,False,27129,27129,27294
JinairRogue59768852,59768852,JinairRogue,True,Loss,True,False,False,27319,27319,27746
JinairRogue60293122,60293122,JinairRogue,True,Loss,True,False,False,17192,17192,17758
JinairRogue60293123,60293123,JinairRogue,True,Loss,True,False,False,17766,17766,19616
JinairRogue61079554,61079554,JinairRogue,True,Loss,False,False,False,4746,4746,5285
JinairRogue61079555,61079555,JinairRogue,True,Loss,False,False,True,5361,5361,15477
JinairRogue61079556,61079556,JinairRogue,True,Loss,True,False,False,15683,15683,16260
JinairRogue61079557,61079557,JinairRogue,True,Loss,True,False,False,16355,16355,16526
JinairRogue61079558,61079558,JinairRogue,True,Loss,False,False,False,16529,16529,17341
JinairRogue61079559,61079559,JinairRogue,True,Loss,True,False,False,17343,17343,18010
JinairRogue61079562,61079562,JinairRogue,True,Loss,False,True,False,18567,18845,NA
JinairRogue61603842,61603842,JinairRogue,True,Loss,True,False,False,17504,17504,17890
JinairRogue61603848,61603848,JinairRogue,True,Loss,False,False,False,18983,18983,19469
JinairRogue61603849,61603849,JinairRogue,True,Loss,True,False,False,19472,19472,20575
JinairRogue61603850,61603850,JinairRogue,True,Loss,True,False,False,20577,20577,21122
JinairRogue61603854,61603854,JinairRogue,True,Loss,True,False,False,21843,21843,22373
JinairRogue61603855,61603855,JinairRogue,True,Loss,True,False,False,22375,22375,22649
JinairRogue61603856,61603856,JinairRogue,True,Loss,False,False,False,22652,22652,23251
JinairRogue61603857,61603857,JinairRogue,True,Loss,True,False,False,23255,23255,24959
JinairRogue61865990,61865990,JinairRogue,True,Loss,False,False,False,18900,18900,19472
JinairRogue61865992,61865992,JinairRogue,True,Loss,False,False,False,20269,20269,20801
JinairRogue62390273,62390273,JinairRogue,True,Loss,False,False,False,257,257,978
JinairRogue62390274,62390274,JinairRogue,True,Loss,False,False,True,981,981,8909
JinairRogue62390277,62390277,JinairRogue,True,Loss,False,False,False,8961,8961,9428
JinairRogue62390282,62390282,JinairRogue,True,Loss,True,False,False,16908,16908,17648
JinairRogue62390285,62390285,JinairRogue,True,Loss,False,False,False,17705,17705,18198
JinairRogue62390286,62390286,JinairRogue,True,Loss,False,False,False,18254,18254,18580
JinairRogue62390287,62390287,JinairRogue,True,Loss,False,False,True,18583,18583,NA
JinairRogue62914561,62914561,JinairRogue,True,Loss,False,False,True,289,289,8793
