,cutoff_time,num_buildings_built,num_buildings_destroyed,num_buildings_lost,num_soldiers_built,num_soldiers_destroyed,num_soldiers_lost,num_workers_built,num_workers_destroyed,num_workers_lost,result
150,781.0,21,0,3,2,0,0,14,0,0,1
151,781.0,16,3,0,0,0,0,14,0,0,0
152,7890.0,139,7,79,43,2,10,66,0,20,1
153,7890.0,42,79,7,10,10,2,55,20,0,0
154,21071.0,542,20,418,474,259,425,126,49,37,1
155,21071.0,79,418,20,271,425,259,92,37,49,0
156,2981.0,23,0,0,0,0,0,24,0,0,0
157,2981.0,23,0,0,0,0,0,24,0,0,1
158,5390.0,35,0,7,5,0,1,27,2,1,0
159,5390.0,26,7,0,8,1,0,27,1,2,1
160,11579.0,52,10,9,34,23,29,52,14,11,0
161,11579.0,56,9,10,43,29,23,55,11,14,1
162,1245.0,17,0,0,0,0,0,17,0,0,0
163,1245.0,17,0,0,0,0,0,17,0,0,1
164,1616.0,18,0,0,0,0,0,19,0,0,0
165,1616.0,18,0,0,0,0,0,19,0,0,1
166,6125.0,29,16,0,13,4,11,25,1,2,0
167,6125.0,46,0,16,14,11,4,24,2,1,1
168,305.0,16,1,0,0,0,0,13,0,0,0
169,305.0,20,0,1,1,0,0,13,0,0,1
170,3052.0,19,12,0,1,0,0,21,3,0,0
171,3052.0,35,0,12,3,0,0,22,0,3,1
172,7633.0,35,75,3,13,13,4,45,10,15,0
173,7633.0,125,3,75,42,4,13,65,15,10,1
174,4148.0,26,21,2,2,0,0,31,3,0,0
175,4148.0,50,2,21,4,0,0,31,0,3,1
176,5149.0,35,36,8,4,2,1,38,4,0,0
177,5149.0,69,8,36,18,1,2,40,0,4,1
178,12619.0,53,183,15,50,199,48,63,16,27,0
179,12619.0,238,15,183,264,48,199,66,27,16,1
180,2909.0,20,13,0,0,0,0,22,3,0,0
181,2909.0,45,0,13,2,0,0,24,0,3,1
182,6991.0,48,66,17,7,11,0,50,13,0,0
183,6991.0,129,17,66,33,0,11,60,0,13,1
184,14215.0,88,233,26,61,111,56,63,26,7,0
185,14215.0,335,26,233,185,56,111,101,7,26,1
186,321.0,16,0,0,0,0,0,13,0,0,0
187,321.0,16,0,0,0,0,0,13,0,0,1
188,570.0,16,0,0,0,0,0,13,0,0,0
189,570.0,16,0,0,0,0,0,14,0,0,1
190,16596.0,86,2,17,79,67,74,71,7,3,0
191,16596.0,71,17,2,89,74,67,70,3,7,1
192,1683.0,18,0,0,0,0,0,19,0,0,0
193,1683.0,18,0,0,0,0,0,19,0,0,1
194,2011.0,20,0,0,0,0,0,20,0,0,0
195,2011.0,20,0,0,0,0,0,20,0,0,1
196,6047.0,29,0,2,8,6,6,27,1,13,0
197,6047.0,27,2,0,14,6,6,24,13,1,1
198,3512.0,23,19,0,1,0,0,25,3,0,0
199,3512.0,50,0,19,7,0,0,27,0,3,1
200,3623.0,24,19,1,1,0,0,26,3,0,0
201,3623.0,50,1,19,9,0,0,27,0,3,1
202,14450.0,98,268,44,67,148,57,75,29,21,0
203,14450.0,346,44,268,220,57,148,102,21,29,1
